SysDate-ms	SysDate	SysTime-ms	SameValues	Q3	Rm	Q2	Rp	Q1	Am	U3	Ap	Pm	U2	U1	Pp	Q4	
03/02/2018 17:42:47 001	03/02/2018 17:42:47	001	0														
03/02/2018 17:42:48 001	03/02/2018 17:42:48	001	1														
03/02/2018 17:42:49 000	03/02/2018 17:42:49	000	1														
03/02/2018 17:42:50 001	03/02/2018 17:42:50	001	1														
03/02/2018 17:42:51 000	03/02/2018 17:42:51	000	1														
03/02/2018 17:42:52 001	03/02/2018 17:42:52	001	1														
03/02/2018 17:42:53 000	03/02/2018 17:42:53	000	0	4		13		47		1.03		75	1.21	218.81	94	92	
03/02/2018 17:42:54 001	03/02/2018 17:42:54	001	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	218.81	94	92	
03/02/2018 17:42:55 000	03/02/2018 17:42:55	000	0	4	4283100.2	13	73543.3	47	14.3	1.04	2.1723943200000003E7	75	1.21	218.96	94	92	
03/02/2018 17:42:56 000	03/02/2018 17:42:56	000	1	4	4283100.2	13	73543.3	47	14.3	1.04	2.1723943200000003E7	75	1.21	218.96	94	92	
03/02/2018 17:42:57 001	03/02/2018 17:42:57	001	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.01	94	92	
03/02/2018 17:42:58 001	03/02/2018 17:42:58	001	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.01	94	92	
03/02/2018 17:42:59 000	03/02/2018 17:42:59	000	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.15	94	92	
03/02/2018 17:43:00 000	03/02/2018 17:43:00	000	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.15	94	92	
03/02/2018 17:43:01 001	03/02/2018 17:43:01	001	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.1	94	92	
03/02/2018 17:43:02 000	03/02/2018 17:43:02	000	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.1	94	92	
03/02/2018 17:43:03 001	03/02/2018 17:43:03	001	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.1	94	92	
03/02/2018 17:43:04 000	03/02/2018 17:43:04	000	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.1	94	92	
03/02/2018 17:43:05 000	03/02/2018 17:43:05	000	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.16	94	92	
03/02/2018 17:43:06 001	03/02/2018 17:43:06	001	1	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.16	94	92	
03/02/2018 17:43:07 000	03/02/2018 17:43:07	000	0	4	4283100.2	13	73543.3	47	14.3	1.03	2.1723943200000003E7	75	1.21	219.04	94	92	
