SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
06/22/2018 00:34:11 001	06/22/2018 00:34:11	001	0			68.907730616069																	100.00	06/22/2018 00:34:11						
06/22/2018 00:34:12 000	06/22/2018 00:34:12	000	1			68.907730616069																	100.00	06/22/2018 00:34:11						
06/22/2018 00:34:13 000	06/22/2018 00:34:13	000	0			69.24894299249638																	46.54	06/22/2018 00:34:13						
06/22/2018 00:34:14 000	06/22/2018 00:34:14	000	0			69.2301474968154																	31.85	06/22/2018 00:34:14						
06/22/2018 00:34:15 000	06/22/2018 00:34:15	000	0			69.20114121658509																	31.07	06/22/2018 00:34:15						
06/22/2018 00:34:16 000	06/22/2018 00:34:16	000	0			69.21135200113443																	33.06	06/22/2018 00:34:15						
06/22/2018 00:34:17 000	06/22/2018 00:34:17	000	0			69.09061604987072																	32.83	06/22/2018 00:34:17						
06/22/2018 00:34:18 001	06/22/2018 00:34:18	001	0			69.09061604987072																	32.83	06/22/2018 00:34:18						
06/22/2018 00:34:19 000	06/22/2018 00:34:19	000	0			69.06125107697473																	31.43	06/22/2018 00:34:18						
06/22/2018 00:34:20 000	06/22/2018 00:34:20	000	0			69.06137064119662																	29.93	06/22/2018 00:34:20						
06/22/2018 00:34:21 000	06/22/2018 00:34:21	000	0			69.0973116462965																	30.59	06/22/2018 00:34:21						
06/22/2018 00:34:22 001	06/22/2018 00:34:22	001	0			69.09295950861974																	30.59	06/22/2018 00:34:22						
06/22/2018 00:34:23 000	06/22/2018 00:34:23	000	0			69.09551818296816																	30.20	06/22/2018 00:34:23						
06/22/2018 00:34:24 000	06/22/2018 00:34:24	000	0			69.10685287120327																	30.09	06/22/2018 00:34:23						
06/22/2018 00:34:25 000	06/22/2018 00:34:25	000	0			69.10678113267014																	35.59	06/22/2018 00:34:25						
06/22/2018 00:34:26 001	06/22/2018 00:34:26	001	0			69.10178334819517																	35.92	06/22/2018 00:34:26						
06/22/2018 00:34:27 000	06/22/2018 00:34:27	000	0			69.16479369313078																	33.45	06/22/2018 00:34:27						
06/22/2018 00:34:28 000	06/22/2018 00:34:28	000	0			69.17658272540905																	35.40	06/22/2018 00:34:27						
06/22/2018 00:34:29 000	06/22/2018 00:34:29	000	0			69.25573424029969																	38.00	06/22/2018 00:34:29						
06/22/2018 00:34:30 000	06/22/2018 00:34:30	000	0			69.24322782269009																	29.70	06/22/2018 00:34:30						
06/22/2018 00:34:31 000	06/22/2018 00:34:31	000	0			69.27491234149072																	33.71	06/22/2018 00:34:31						
06/22/2018 00:34:32 001	06/22/2018 00:34:32	001	0			69.26496459822954																	34.02	06/22/2018 00:34:32						
06/22/2018 00:34:33 000	06/22/2018 00:34:33	000	0			69.23017140965979																	32.70	06/22/2018 00:34:33						
06/22/2018 00:34:34 000	06/22/2018 00:34:34	000	0			69.24796256587689																	37.58	06/22/2018 00:34:34						
06/22/2018 00:34:35 000	06/22/2018 00:34:35	000	0			69.23244312987568																	30.82	06/22/2018 00:34:35						
06/22/2018 00:34:36 001	06/22/2018 00:34:36	001	0			69.20465640470863																	30.02	06/22/2018 00:34:36						
06/22/2018 00:34:37 000	06/22/2018 00:34:37	000	0			69.19944340463427																	30.58	06/22/2018 00:34:37						
06/22/2018 00:34:38 000	06/22/2018 00:34:38	000	0			69.20032817987624																	30.45	06/22/2018 00:34:37						
06/22/2018 00:34:39 001	06/22/2018 00:34:39	001	0			69.20556509279498																	29.75	06/22/2018 00:34:39						
06/22/2018 00:34:40 000	06/22/2018 00:34:40	000	0			69.20346076248974																	29.49	06/22/2018 00:34:40						
06/22/2018 00:34:41 000	06/22/2018 00:34:41	000	0			69.19714777157398																	30.22	06/22/2018 00:34:40						
06/22/2018 00:34:42 000	06/22/2018 00:34:42	000	0			69.19640647339827																	32.47	06/22/2018 00:34:42						
06/22/2018 00:34:43 001	06/22/2018 00:34:43	001	0			69.20439336342048																	30.97	06/22/2018 00:34:43						
06/22/2018 00:34:44 000	06/22/2018 00:34:44	000	0			69.21424545530414																	31.10	06/22/2018 00:34:44						
06/22/2018 00:34:45 000	06/22/2018 00:34:45	000	0			69.23000401974915																	32.01	06/22/2018 00:34:44						
06/22/2018 00:34:46 000	06/22/2018 00:34:46	000	0			69.21398241401599																	31.79	06/22/2018 00:34:46						
06/22/2018 00:34:47 001	06/22/2018 00:34:47	001	0			69.21398241401599																	31.79	06/22/2018 00:34:47						
06/22/2018 00:34:48 000	06/22/2018 00:34:48	000	0			69.20379554231103																	33.91	06/22/2018 00:34:47						
06/22/2018 00:34:49 000	06/22/2018 00:34:49	000	0			69.20621073959319																	29.28	06/22/2018 00:34:49						
06/22/2018 00:34:50 000	06/22/2018 00:34:50	000	0			69.20884115247475																	29.28	06/22/2018 00:34:50						
06/22/2018 00:34:51 001	06/22/2018 00:34:51	001	0			69.2163497856094																	29.80	06/22/2018 00:34:51						
06/22/2018 00:34:52 000	06/22/2018 00:34:52	000	0			69.21261938188646																	28.64	06/22/2018 00:34:52						
06/22/2018 00:34:53 000	06/22/2018 00:34:53	000	0			69.22455189123099																	32.69	06/22/2018 00:34:52						
06/22/2018 00:34:54 001	06/22/2018 00:34:54	001	0			69.225627969228																	30.66	06/22/2018 00:34:54						
06/22/2018 00:34:55 000	06/22/2018 00:34:55	000	0			69.24164957496114																	30.81	06/22/2018 00:34:55						
06/22/2018 00:34:56 000	06/22/2018 00:34:56	000	0			69.27570146535518																	30.71	06/22/2018 00:34:55						
SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
06/22/2018 00:35:35 001	06/22/2018 00:35:35	001	0																					06/22/2018 00:35:34						
06/22/2018 00:35:36 000	06/22/2018 00:35:36	000	0			69.89117025395201																	0.00	06/22/2018 00:35:34						
06/22/2018 00:35:37 000	06/22/2018 00:35:37	000	0			69.92158739200063																	28.76	06/22/2018 00:35:37						
06/22/2018 00:35:38 000	06/22/2018 00:35:38	000	0			69.92158739200063																	28.76	06/22/2018 00:35:38						
06/22/2018 00:35:39 001	06/22/2018 00:35:39	001	0			69.91663743321442																	30.58	06/22/2018 00:35:39						
06/22/2018 00:35:40 000	06/22/2018 00:35:40	000	0			69.91058748358682																	31.11	06/22/2018 00:35:40						
06/22/2018 00:35:41 000	06/22/2018 00:35:41	000	0			69.90482448809176																	32.93	06/22/2018 00:35:40						
06/22/2018 00:35:42 000	06/22/2018 00:35:42	000	0			69.8989658412192																	28.78	06/22/2018 00:35:42						
SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
06/22/2018 00:35:57 001	06/22/2018 00:35:57	001	0																					06/22/2018 00:35:56						
06/22/2018 00:35:58 000	06/22/2018 00:35:58	000	0			69.87452691426503																	100.00	06/22/2018 00:35:58						
06/22/2018 00:35:59 001	06/22/2018 00:35:59	001	0			69.9586283879419																	49.94	06/22/2018 00:35:58						
06/22/2018 00:36:00 000	06/22/2018 00:36:00	000	0			69.94322851616258																	29.48	06/22/2018 00:35:59						
06/22/2018 00:36:01 000	06/22/2018 00:36:01	000	0			69.95468276861956																	30.98	06/22/2018 00:36:00						
06/22/2018 00:36:02 001	06/22/2018 00:36:02	001	0			69.86548785909022																	46.87	06/22/2018 00:36:02						
06/22/2018 00:36:03 000	06/22/2018 00:36:03	000	0			69.80953180324607																	31.24	06/22/2018 00:36:02						
06/22/2018 00:36:04 000	06/22/2018 00:36:04	000	0			69.81383611523408																	29.75	06/22/2018 00:36:04						
06/22/2018 00:36:05 000	06/22/2018 00:36:05	000	0			69.82949902830157																	30.37	06/22/2018 00:36:05						
06/22/2018 00:36:06 001	06/22/2018 00:36:06	001	0			69.83550115224041																	33.19	06/22/2018 00:36:06						
06/22/2018 00:36:07 000	06/22/2018 00:36:07	000	0			69.84810322122753																	33.78	06/22/2018 00:36:06						
06/22/2018 00:36:08 000	06/22/2018 00:36:08	000	0			69.84635758358795																	29.28	06/22/2018 00:36:07						
06/22/2018 00:36:09 001	06/22/2018 00:36:09	001	0			69.84286630830879																	29.13	06/22/2018 00:36:09						
06/22/2018 00:36:10 000	06/22/2018 00:36:10	000	0			69.92591561683301																	32.96	06/22/2018 00:36:10						
06/22/2018 00:36:11 000	06/22/2018 00:36:11	000	0			69.87624863906024																	33.97	06/22/2018 00:36:10						
06/22/2018 00:36:12 000	06/22/2018 00:36:12	000	0			69.86933782703505																	33.64	06/22/2018 00:36:12						
06/22/2018 00:36:13 001	06/22/2018 00:36:13	001	0			69.86115963425783																	33.06	06/22/2018 00:36:13						
06/22/2018 00:36:14 000	06/22/2018 00:36:14	000	0			69.87407257022187																	31.60	06/22/2018 00:36:14						
06/22/2018 00:36:15 000	06/22/2018 00:36:15	000	0			69.86180528105604																	28.63	06/22/2018 00:36:15						
06/22/2018 00:36:16 001	06/22/2018 00:36:16	001	0			69.86180528105604																	28.63	06/22/2018 00:36:16						
06/22/2018 00:36:17 000	06/22/2018 00:36:17	000	0			69.87070085916459																	28.05	06/22/2018 00:36:16						
06/22/2018 00:36:18 000	06/22/2018 00:36:18	000	0			69.87847253358738																	31.23	06/22/2018 00:36:18						
06/22/2018 00:36:19 000	06/22/2018 00:36:19	000	0			69.86964869401196																	29.67	06/22/2018 00:36:19						
06/22/2018 00:36:20 000	06/22/2018 00:36:20	000	0			69.87218345551601																	30.28	06/22/2018 00:36:20						
06/22/2018 00:36:21 001	06/22/2018 00:36:21	001	0			69.87423996013251																	30.28	06/22/2018 00:36:21						
06/22/2018 00:36:22 000	06/22/2018 00:36:22	000	0			69.8895680933787																	28.96	06/22/2018 00:36:21						
06/22/2018 00:36:23 000	06/22/2018 00:36:23	000	0			70.2066045841401																	45.30	06/22/2018 00:36:23						
06/22/2018 00:36:24 000	06/22/2018 00:36:24	000	0			70.28805173209102																	38.92	06/22/2018 00:36:24						
06/22/2018 00:36:25 001	06/22/2018 00:36:25	001	0			70.27523444750449																	28.96	06/22/2018 00:36:25						
06/22/2018 00:36:26 000	06/22/2018 00:36:26	000	0			70.26083891518903																	28.37	06/22/2018 00:36:25						
06/22/2018 00:36:27 000	06/22/2018 00:36:27	000	0			70.26236933722922																	28.11	06/22/2018 00:36:26						
06/22/2018 00:36:28 001	06/22/2018 00:36:28	001	0			70.22492182293351																	33.48	06/22/2018 00:36:28						
06/22/2018 00:36:29 000	06/22/2018 00:36:29	000	0			70.24063256168975																	32.37	06/22/2018 00:36:29						
06/22/2018 00:36:30 000	06/22/2018 00:36:30	000	0			70.18042001954636																	31.82	06/22/2018 00:36:29						
SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
06/22/2018 00:36:40 000	06/22/2018 00:36:40	000	0																					06/22/2018 00:36:39						
06/22/2018 00:36:41 000	06/22/2018 00:36:41	000	0			70.19950246935987																	0.00	06/22/2018 00:36:41						
06/22/2018 00:36:42 001	06/22/2018 00:36:42	001	0			70.42495276615415																	42.86	06/22/2018 00:36:42						
06/22/2018 00:36:43 000	06/22/2018 00:36:43	000	0			70.37090973786023																	32.67	06/22/2018 00:36:42						
SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
06/22/2018 00:37:02 000	06/22/2018 00:37:02	000	0			69.95315234657937																	0.00	06/22/2018 00:37:02						
06/22/2018 00:37:03 000	06/22/2018 00:37:03	000	0			69.95793491545494																	0.00	06/22/2018 00:37:03						
06/22/2018 00:37:04 000	06/22/2018 00:37:04	000	0			69.9401915849266																	34.47	06/22/2018 00:37:04						
06/22/2018 00:37:05 000	06/22/2018 00:37:05	000	0			69.94762847952809																	30.84	06/22/2018 00:37:05						
06/22/2018 00:37:06 001	06/22/2018 00:37:06	001	0			69.96405660361567																	29.67	06/22/2018 00:37:06						
06/22/2018 00:37:07 000	06/22/2018 00:37:07	000	0			69.98689336999651																	32.73	06/22/2018 00:37:06						
06/22/2018 00:37:08 000	06/22/2018 00:37:08	000	0			69.94569153913349																	30.78	06/22/2018 00:37:08						
06/22/2018 00:37:09 000	06/22/2018 00:37:09	000	0			69.98751510395033																	29.73	06/22/2018 00:37:09						
06/22/2018 00:37:10 000	06/22/2018 00:37:10	000	0			69.99141289758391																	31.10	06/22/2018 00:37:10						
06/22/2018 00:37:11 001	06/22/2018 00:37:11	001	0			70.0883316558473																	43.65	06/22/2018 00:37:11						
06/22/2018 00:37:12 000	06/22/2018 00:37:12	000	0			69.97646736984777																	44.13	06/22/2018 00:37:12						
06/22/2018 00:37:13 000	06/22/2018 00:37:13	000	0			69.89578543291694																	37.61	06/22/2018 00:37:13						
06/22/2018 00:37:14 000	06/22/2018 00:37:14	000	0			69.86029877186023																	41.70	06/22/2018 00:37:14						
06/22/2018 00:37:15 001	06/22/2018 00:37:15	001	0			69.9018592953889																	33.45	06/22/2018 00:37:15						
06/22/2018 00:37:16 000	06/22/2018 00:37:16	000	0			69.91063530927558																	39.11	06/22/2018 00:37:15						
06/22/2018 00:37:17 000	06/22/2018 00:37:17	000	0			69.91539396530676																	35.14	06/22/2018 00:37:17						
06/22/2018 00:37:18 000	06/22/2018 00:37:18	000	0			69.90506361653554																	33.58	06/22/2018 00:37:18						
06/22/2018 00:37:19 001	06/22/2018 00:37:19	001	0			69.96766744311672																	38.26	06/22/2018 00:37:19						
06/22/2018 00:37:20 000	06/22/2018 00:37:20	000	0			70.03306907249012																	37.69	06/22/2018 00:37:19						
06/22/2018 00:37:21 000	06/22/2018 00:37:21	000	0			70.05547540767215																	40.22	06/22/2018 00:37:21						
