SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
08/21/2018 16:02:46 013	08/21/2018 16:02:46	013	0			64.34884685264834																	11.31	08/21/2018 16:02:46						
08/21/2018 16:02:47 000	08/21/2018 16:02:47	000	0			64.34884685264834																	11.31	08/21/2018 16:02:47						
08/21/2018 16:02:48 004	08/21/2018 16:02:48	004	0			64.34502915973059																	3.64	08/21/2018 16:02:48						
08/21/2018 16:02:49 002	08/21/2018 16:02:49	002	0			64.4359094596908																	13.30	08/21/2018 16:02:49						
08/21/2018 16:02:50 000	08/21/2018 16:02:50	000	0			64.4505319438852																	10.51	08/21/2018 16:02:49						
08/21/2018 16:02:51 018	08/21/2018 16:02:51	018	0			64.45151638042373																	6.05	08/21/2018 16:02:50						
08/21/2018 16:02:52 001	08/21/2018 16:02:52	001	0			64.48649989351279																	15.20	08/21/2018 16:02:52						
08/21/2018 16:02:53 001	08/21/2018 16:02:53	001	0			64.61361226022066																	17.00	08/21/2018 16:02:53						
08/21/2018 16:02:54 001	08/21/2018 16:02:54	001	0			64.61555712265047																	6.95	08/21/2018 16:02:54						
08/21/2018 16:02:55 002	08/21/2018 16:02:55	002	0			64.61594129300697																	4.57	08/21/2018 16:02:55						
08/21/2018 16:02:56 000	08/21/2018 16:02:56	000	0			64.61613337818522																	6.42	08/21/2018 16:02:56						
08/21/2018 16:02:57 012	08/21/2018 16:02:57	012	0			64.61260381303485																	5.92	08/21/2018 16:02:57						
08/21/2018 16:02:58 000	08/21/2018 16:02:58	000	0			64.59658871129814																	12.95	08/21/2018 16:02:58						
08/21/2018 16:02:59 017	08/21/2018 16:02:59	017	0			64.96428776376597																	16.42	08/21/2018 16:02:58						
08/21/2018 16:03:00 001	08/21/2018 16:03:00	001	0			66.07350763622621																	18.58	08/21/2018 16:03:00						
08/21/2018 16:03:01 001	08/21/2018 16:03:01	001	0			66.11238087417485																	14.91	08/21/2018 16:03:01						
08/21/2018 16:03:02 001	08/21/2018 16:03:02	001	0			66.35083061232673																	24.32	08/21/2018 16:03:02						
08/21/2018 16:03:03 000	08/21/2018 16:03:03	000	0			66.32878883812238																	14.81	08/21/2018 16:03:03						
08/21/2018 16:03:04 004	08/21/2018 16:03:04	004	0			64.91304904246739																	13.23	08/21/2018 16:03:04						
08/21/2018 16:03:05 001	08/21/2018 16:03:05	001	0			64.9135532660603																	10.70	08/21/2018 16:03:05						
08/21/2018 16:03:06 000	08/21/2018 16:03:06	000	0			66.06255878106587																	15.73	08/21/2018 16:03:06						
08/21/2018 16:03:07 014	08/21/2018 16:03:07	014	0			66.51439114160783																	15.36	08/21/2018 16:03:07						
08/21/2018 16:03:08 001	08/21/2018 16:03:08	001	0			66.88444323750923																	12.94	08/21/2018 16:03:08						
08/21/2018 16:03:09 001	08/21/2018 16:03:09	001	0			66.86098483511529																	10.07	08/21/2018 16:03:09						
08/21/2018 16:03:10 001	08/21/2018 16:03:10	001	0			65.4488706471998																	12.97	08/21/2018 16:03:10						
08/21/2018 16:03:11 001	08/21/2018 16:03:11	001	0			63.47118566257021																	21.46	08/21/2018 16:03:11						
08/21/2018 16:03:12 001	08/21/2018 16:03:12	001	0			63.47118566257021																	21.46	08/21/2018 16:03:12						
08/21/2018 16:03:13 000	08/21/2018 16:03:13	000	0			63.4940918200767																	12.76	08/21/2018 16:03:12						
08/21/2018 16:03:14 011	08/21/2018 16:03:14	011	0			63.5777449152052																	10.90	08/21/2018 16:03:13						
08/21/2018 16:03:15 001	08/21/2018 16:03:15	001	0			63.576208233779184																	9.10	08/21/2018 16:03:15						
08/21/2018 16:03:16 000	08/21/2018 16:03:16	000	0			63.57347101998911																	3.24	08/21/2018 16:03:16						
08/21/2018 16:03:17 001	08/21/2018 16:03:17	001	0			63.5733509667527																	3.02	08/21/2018 16:03:17						
08/21/2018 16:03:18 002	08/21/2018 16:03:18	002	0			63.572990807043475																	3.84	08/21/2018 16:03:18						
08/21/2018 16:03:19 001	08/21/2018 16:03:19	001	0			63.57397524358201																	7.13	08/21/2018 16:03:19						
08/21/2018 16:03:20 001	08/21/2018 16:03:20	001	0			63.59039852632251																	2.97	08/21/2018 16:03:20						
