SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
04/20/2018 12:07:32 000	04/20/2018 12:07:32	000	0			50.37832376388986																	0.00	04/20/2018 12:07:32						
04/20/2018 12:07:33 001	04/20/2018 12:07:33	001	0			50.379500285606646																	0.00	04/20/2018 12:07:33						
04/20/2018 12:07:34 001	04/20/2018 12:07:34	001	0			50.39345047167716																	8.56	04/20/2018 12:07:34						
04/20/2018 12:07:35 000	04/20/2018 12:07:35	000	0			50.87990618559894																	23.80	04/20/2018 12:07:35						
04/20/2018 12:07:36 001	04/20/2018 12:07:36	001	0			50.96624847322297																	26.94	04/20/2018 12:07:36						
04/20/2018 12:07:37 001	04/20/2018 12:07:37	001	0			51.0154703001499																	19.78	04/20/2018 12:07:37						
04/20/2018 12:07:38 000	04/20/2018 12:07:38	000	0			51.059817965678704																	22.24	04/20/2018 12:07:38						
04/20/2018 12:07:39 001	04/20/2018 12:07:39	001	0			51.02166504714851																	7.91	04/20/2018 12:07:39						
04/20/2018 12:07:40 000	04/20/2018 12:07:40	000	0			51.072183449028635																	6.63	04/20/2018 12:07:40						
04/20/2018 12:07:41 001	04/20/2018 12:07:41	001	0			51.05256675019971																	2.42	04/20/2018 12:07:41						
04/20/2018 12:07:42 001	04/20/2018 12:07:42	001	0			51.05724882641959																	5.33	04/20/2018 12:07:42						
04/20/2018 12:07:43 000	04/20/2018 12:07:43	000	0			51.05115012201011																	2.31	04/20/2018 12:07:43						
04/20/2018 12:07:44 002	04/20/2018 12:07:44	002	0			51.05393535709475																	2.57	04/20/2018 12:07:44						
04/20/2018 12:07:45 000	04/20/2018 12:07:45	000	0			51.05393535709475																	2.57	04/20/2018 12:07:45						
04/20/2018 12:07:46 001	04/20/2018 12:07:46	001	0			51.05621636858648																	1.95	04/20/2018 12:07:46						
04/20/2018 12:07:47 000	04/20/2018 12:07:47	000	0			51.05621636858648																	1.95	04/20/2018 12:07:47						
04/20/2018 12:07:48 001	04/20/2018 12:07:48	001	0			51.05700871994677																	2.56	04/20/2018 12:07:48						
04/20/2018 12:07:49 000	04/20/2018 12:07:49	000	0			51.032037646774086																	1.82	04/20/2018 12:07:49						
04/20/2018 12:07:50 001	04/20/2018 12:07:50	001	0			51.025194612298876																	4.41	04/20/2018 12:07:50						
04/20/2018 12:07:51 001	04/20/2018 12:07:51	001	0			51.02689936825586																	4.67	04/20/2018 12:07:51						
04/20/2018 12:07:52 000	04/20/2018 12:07:52	000	0			51.01950408889318																	4.00	04/20/2018 12:07:52						
04/20/2018 12:07:53 001	04/20/2018 12:07:53	001	0			51.02015237636978																	3.04	04/20/2018 12:07:53						
04/20/2018 12:07:54 000	04/20/2018 12:07:54	000	0			51.14498373158593																	13.14	04/20/2018 12:07:54						
04/20/2018 12:07:55 001	04/20/2018 12:07:55	001	0			51.14282277333061																	2.06	04/20/2018 12:07:55						
04/20/2018 12:07:56 000	04/20/2018 12:07:56	000	0			51.12474275592769																	3.40	04/20/2018 12:07:56						
04/20/2018 12:07:57 001	04/20/2018 12:07:57	001	0			51.12202955278489																	4.07	04/20/2018 12:07:57						
04/20/2018 12:07:58 001	04/20/2018 12:07:58	001	0			51.11770763627423																	4.16	04/20/2018 12:07:58						
04/20/2018 12:07:59 000	04/20/2018 12:07:59	000	0			51.07787397243434																	5.64	04/20/2018 12:07:59						
