SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:11:34 001	05/17/2019 22:11:34	001	1			
05/17/2019 22:11:35 000	05/17/2019 22:11:35	000	1			
05/17/2019 22:11:36 000	05/17/2019 22:11:36	000	1			
05/17/2019 22:11:37 000	05/17/2019 22:11:37	000	1			
05/17/2019 22:11:38 001	05/17/2019 22:11:38	001	1			
05/17/2019 22:11:39 000	05/17/2019 22:11:39	000	1			
05/17/2019 22:11:40 001	05/17/2019 22:11:40	001	1			
05/17/2019 22:11:41 000	05/17/2019 22:11:41	000	1			
05/17/2019 22:11:42 000	05/17/2019 22:11:42	000	1			
05/17/2019 22:11:43 001	05/17/2019 22:11:43	001	1			
05/17/2019 22:11:44 001	05/17/2019 22:11:44	001	1			
05/17/2019 22:11:45 000	05/17/2019 22:11:45	000	1			
05/17/2019 22:11:46 000	05/17/2019 22:11:46	000	1			
05/17/2019 22:11:47 001	05/17/2019 22:11:47	001	1			
05/17/2019 22:11:48 000	05/17/2019 22:11:48	000	1			
05/17/2019 22:11:49 001	05/17/2019 22:11:49	001	1			
05/17/2019 22:11:50 000	05/17/2019 22:11:50	000	1			
05/17/2019 22:11:51 001	05/17/2019 22:11:51	001	1			
05/17/2019 22:11:52 000	05/17/2019 22:11:52	000	1			
05/17/2019 22:11:53 001	05/17/2019 22:11:53	001	1			
05/17/2019 22:11:54 000	05/17/2019 22:11:54	000	1			
05/17/2019 22:11:55 000	05/17/2019 22:11:55	000	1			
05/17/2019 22:11:56 001	05/17/2019 22:11:56	001	1			
05/17/2019 22:11:57 000	05/17/2019 22:11:57	000	1			
05/17/2019 22:11:58 000	05/17/2019 22:11:58	000	1			
05/17/2019 22:11:59 001	05/17/2019 22:11:59	001	1			
05/17/2019 22:12:00 001	05/17/2019 22:12:00	001	1			
05/17/2019 22:12:01 000	05/17/2019 22:12:01	000	1			
05/17/2019 22:12:02 001	05/17/2019 22:12:02	001	1			
05/17/2019 22:12:03 000	05/17/2019 22:12:03	000	1			
05/17/2019 22:12:04 000	05/17/2019 22:12:04	000	1			
05/17/2019 22:12:05 000	05/17/2019 22:12:05	000	1			
05/17/2019 22:12:06 001	05/17/2019 22:12:06	001	1			
05/17/2019 22:12:07 001	05/17/2019 22:12:07	001	1			
05/17/2019 22:12:08 000	05/17/2019 22:12:08	000	1			
05/17/2019 22:12:09 000	05/17/2019 22:12:09	000	1			
05/17/2019 22:12:10 000	05/17/2019 22:12:10	000	1			
05/17/2019 22:12:11 001	05/17/2019 22:12:11	001	1			
05/17/2019 22:12:12 001	05/17/2019 22:12:12	001	1			
05/17/2019 22:12:13 000	05/17/2019 22:12:13	000	1			
05/17/2019 22:12:14 001	05/17/2019 22:12:14	001	1			
05/17/2019 22:12:15 001	05/17/2019 22:12:15	001	1			
05/17/2019 22:12:16 000	05/17/2019 22:12:16	000	1			
05/17/2019 22:12:17 000	05/17/2019 22:12:17	000	1			
05/17/2019 22:12:18 001	05/17/2019 22:12:18	001	1			
05/17/2019 22:12:19 000	05/17/2019 22:12:19	000	1			
05/17/2019 22:12:20 000	05/17/2019 22:12:20	000	1			
05/17/2019 22:12:21 001	05/17/2019 22:12:21	001	1			
05/17/2019 22:12:22 000	05/17/2019 22:12:22	000	1			
05/17/2019 22:12:23 000	05/17/2019 22:12:23	000	1			
05/17/2019 22:12:24 000	05/17/2019 22:12:24	000	1			
05/17/2019 22:12:25 001	05/17/2019 22:12:25	001	1			
05/17/2019 22:12:26 000	05/17/2019 22:12:26	000	1			
05/17/2019 22:12:27 001	05/17/2019 22:12:27	001	1			
05/17/2019 22:12:28 000	05/17/2019 22:12:28	000	1			
05/17/2019 22:12:29 001	05/17/2019 22:12:29	001	1			
05/17/2019 22:12:30 000	05/17/2019 22:12:30	000	1			
05/17/2019 22:12:31 000	05/17/2019 22:12:31	000	1			
05/17/2019 22:12:32 001	05/17/2019 22:12:32	001	1			
05/17/2019 22:12:33 001	05/17/2019 22:12:33	001	1			
05/17/2019 22:12:34 000	05/17/2019 22:12:34	000	1			
05/17/2019 22:12:35 001	05/17/2019 22:12:35	001	1			
05/17/2019 22:12:36 000	05/17/2019 22:12:36	000	1			
05/17/2019 22:12:37 001	05/17/2019 22:12:37	001	1			
05/17/2019 22:12:38 000	05/17/2019 22:12:38	000	1			
05/17/2019 22:12:39 001	05/17/2019 22:12:39	001	1			
05/17/2019 22:12:40 000	05/17/2019 22:12:40	000	1			
05/17/2019 22:12:41 000	05/17/2019 22:12:41	000	1			
05/17/2019 22:12:42 000	05/17/2019 22:12:42	000	1			
05/17/2019 22:12:43 001	05/17/2019 22:12:43	001	1			
05/17/2019 22:12:44 001	05/17/2019 22:12:44	001	1			
05/17/2019 22:12:45 000	05/17/2019 22:12:45	000	1			
05/17/2019 22:12:46 001	05/17/2019 22:12:46	001	1			
05/17/2019 22:12:47 000	05/17/2019 22:12:47	000	1			
05/17/2019 22:12:48 001	05/17/2019 22:12:48	001	1			
05/17/2019 22:12:49 000	05/17/2019 22:12:49	000	1			
05/17/2019 22:12:50 001	05/17/2019 22:12:50	001	1			
05/17/2019 22:12:51 000	05/17/2019 22:12:51	000	1			
05/17/2019 22:12:52 001	05/17/2019 22:12:52	001	1			
05/17/2019 22:12:53 000	05/17/2019 22:12:53	000	1			
05/17/2019 22:12:54 001	05/17/2019 22:12:54	001	1			
05/17/2019 22:12:55 000	05/17/2019 22:12:55	000	1			
05/17/2019 22:12:56 000	05/17/2019 22:12:56	000	1			
05/17/2019 22:12:57 000	05/17/2019 22:12:57	000	1			
05/17/2019 22:12:58 000	05/17/2019 22:12:58	000	1			
05/17/2019 22:12:59 000	05/17/2019 22:12:59	000	1			
05/17/2019 22:13:00 001	05/17/2019 22:13:00	001	1			
05/17/2019 22:13:01 000	05/17/2019 22:13:01	000	1			
05/17/2019 22:13:02 001	05/17/2019 22:13:02	001	1			
05/17/2019 22:13:03 000	05/17/2019 22:13:03	000	1			
05/17/2019 22:13:04 001	05/17/2019 22:13:04	001	1			
05/17/2019 22:13:05 000	05/17/2019 22:13:05	000	1			
05/17/2019 22:13:06 001	05/17/2019 22:13:06	001	1			
05/17/2019 22:13:07 000	05/17/2019 22:13:07	000	1			
05/17/2019 22:13:08 000	05/17/2019 22:13:08	000	1			
05/17/2019 22:13:09 001	05/17/2019 22:13:09	001	1			
05/17/2019 22:13:10 000	05/17/2019 22:13:10	000	1			
05/17/2019 22:13:11 001	05/17/2019 22:13:11	001	1			
05/17/2019 22:13:12 000	05/17/2019 22:13:12	000	1			
05/17/2019 22:13:13 000	05/17/2019 22:13:13	000	1			
05/17/2019 22:13:14 001	05/17/2019 22:13:14	001	1			
05/17/2019 22:13:15 001	05/17/2019 22:13:15	001	1			
05/17/2019 22:13:16 000	05/17/2019 22:13:16	000	1			
05/17/2019 22:13:17 000	05/17/2019 22:13:17	000	1			
05/17/2019 22:13:18 000	05/17/2019 22:13:18	000	1			
05/17/2019 22:13:19 000	05/17/2019 22:13:19	000	1			
05/17/2019 22:13:20 001	05/17/2019 22:13:20	001	1			
05/17/2019 22:13:21 000	05/17/2019 22:13:21	000	1			
05/17/2019 22:13:22 000	05/17/2019 22:13:22	000	1			
05/17/2019 22:13:23 001	05/17/2019 22:13:23	001	1			
05/17/2019 22:13:24 000	05/17/2019 22:13:24	000	1			
05/17/2019 22:13:25 000	05/17/2019 22:13:25	000	1			
05/17/2019 22:13:26 001	05/17/2019 22:13:26	001	1			
05/17/2019 22:13:27 000	05/17/2019 22:13:27	000	1			
05/17/2019 22:13:28 001	05/17/2019 22:13:28	001	1			
05/17/2019 22:13:29 000	05/17/2019 22:13:29	000	1			
05/17/2019 22:13:30 000	05/17/2019 22:13:30	000	1			
05/17/2019 22:13:31 001	05/17/2019 22:13:31	001	1			
05/17/2019 22:13:32 000	05/17/2019 22:13:32	000	1			
05/17/2019 22:13:33 001	05/17/2019 22:13:33	001	1			
05/17/2019 22:13:34 000	05/17/2019 22:13:34	000	1			
05/17/2019 22:13:35 000	05/17/2019 22:13:35	000	1			
05/17/2019 22:13:36 001	05/17/2019 22:13:36	001	1			
05/17/2019 22:13:37 000	05/17/2019 22:13:37	000	1			
05/17/2019 22:13:38 001	05/17/2019 22:13:38	001	1			
05/17/2019 22:13:39 000	05/17/2019 22:13:39	000	1			
05/17/2019 22:13:40 001	05/17/2019 22:13:40	001	1			
05/17/2019 22:13:41 000	05/17/2019 22:13:41	000	1			
05/17/2019 22:13:42 001	05/17/2019 22:13:42	001	1			
05/17/2019 22:13:43 000	05/17/2019 22:13:43	000	1			
