SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
02/13/2018 00:00:00 000	02/13/2018 00:00:00	000	0			65.71811586873092																	17.79306890457316	02/13/2018 00:00:00						
02/13/2018 00:00:01 000	02/13/2018 00:00:01	000	0			65.71811586873092																	17.79306890457316	02/13/2018 00:00:01						
02/13/2018 00:00:02 001	02/13/2018 00:00:02	001	0			65.78566965409831																	18.35459749149243	02/13/2018 00:00:02						
02/13/2018 00:00:03 000	02/13/2018 00:00:03	000	0			65.82943015930977																	19.45000634114522	02/13/2018 00:00:03						
02/13/2018 00:00:04 001	02/13/2018 00:00:04	001	0			65.86187988913048																	19.488788386995303	02/13/2018 00:00:04						
02/13/2018 00:00:05 000	02/13/2018 00:00:05	000	0			65.84016702643541																	23.15982505716596	02/13/2018 00:00:05						
02/13/2018 00:00:06 001	02/13/2018 00:00:06	001	0			65.85095171924982																	17.17774867749009	02/13/2018 00:00:06						
02/13/2018 00:00:07 000	02/13/2018 00:00:07	000	0			65.8696276507089																	19.445820068623853	02/13/2018 00:00:07						
02/13/2018 00:00:08 000	02/13/2018 00:00:08	000	0			65.8773036737542																	19.613268154258478	02/13/2018 00:00:08						
02/13/2018 00:00:09 001	02/13/2018 00:00:09	001	0			65.8645581277008																	20.5747547231659	02/13/2018 00:00:09						
02/13/2018 00:00:10 001	02/13/2018 00:00:10	001	0			65.91628161009007																	20.37539547511421	02/13/2018 00:00:10						
02/13/2018 00:00:11 000	02/13/2018 00:00:11	000	0			65.97771370729674																	18.84225252150431	02/13/2018 00:00:11						
02/13/2018 00:00:12 001	02/13/2018 00:00:12	001	0			65.96668988603855																	16.63102810141054	02/13/2018 00:00:12						
02/13/2018 00:00:13 000	02/13/2018 00:00:13	000	0			65.97245288153363																	15.315829235441347	02/13/2018 00:00:13						
02/13/2018 00:00:14 001	02/13/2018 00:00:14	001	0			66.01451557479425																	19.190772298115743	02/13/2018 00:00:14						
02/13/2018 00:00:15 000	02/13/2018 00:00:15	000	0			66.03610887326742																	18.282041519137117	02/13/2018 00:00:15						
02/13/2018 00:00:16 000	02/13/2018 00:00:16	000	0			65.99820701492854																	20.018383745071798	02/13/2018 00:00:16						
02/13/2018 00:00:17 001	02/13/2018 00:00:17	001	0			65.99925918008117																	17.977665827724532	02/13/2018 00:00:17						
02/13/2018 00:00:18 000	02/13/2018 00:00:18	000	0			66.02202420792888																	15.942369044972027	02/13/2018 00:00:17						
02/13/2018 00:00:19 000	02/13/2018 00:00:19	000	0			66.04402402475648																	16.022967990300852	02/13/2018 00:00:19						
02/13/2018 00:00:20 001	02/13/2018 00:00:20	001	0			65.67727273053356																	22.846444834087986	02/13/2018 00:00:20						
02/13/2018 00:00:21 000	02/13/2018 00:00:21	000	0			65.66895106069009																	20.34995941408756	02/13/2018 00:00:21						
02/13/2018 00:00:22 001	02/13/2018 00:00:22	001	0			65.73052663496301																	20.51655033749935	02/13/2018 00:00:22						
02/13/2018 00:00:23 000	02/13/2018 00:00:23	000	0			65.80570861768695																	18.009023967427197	02/13/2018 00:00:23						
02/13/2018 00:00:24 000	02/13/2018 00:00:24	000	0			65.82354759959281																	19.07009768312107	02/13/2018 00:00:24						
02/13/2018 00:00:25 001	02/13/2018 00:00:25	001	0			65.75955682803772																	17.630500527764447	02/13/2018 00:00:25						
02/13/2018 00:00:26 000	02/13/2018 00:00:26	000	0			65.77615234203594																	19.37060887152149	02/13/2018 00:00:26						
